Key,English,German,Russian,Japanese,Chinese,Spanish,Portuguese,Arabic,Polish,French,Dutch,Turkish,Italian
Splashscreen.Title1,Knockdown,Niederschlagen,Сбить,倒す,击倒,Noquear,Derrubar,صرع,Ogłuszający,Abattre,Omver gooien,Yere sermek,Stendere
Splashscreen.Title2,Bottles,Flaschen,Бутылки,ボトル,瓶子,botellas,Garrafas,زجاجات,butelki,Bouteilles,flessen,şişeler,bottiglie
Splashscreen.Play,Play,abspielen,Играть,演奏する,玩,Jugar,Jogar,لعب,Grać,Jouer,Speel,Oyna,Giocare
Mainmenu.Select,Select world,Wählen Welt,Выберите мир,世界を選択,选择世界,Selección de mundo,Select mundo,حدد العالم,Wybierz świat,Sélectionner le monde,Select wereld,seç Dünya,Selezionare mondo
WorldsPanel_name0,Forest,Wald,лес,森林,森林,Bosque,Floresta,غابة,Las,Forêt,Woud,Orman,foresta
WorldsPanel_name1,Ancient,altertümlich,древний,古代の,古,Antiguo,Antigo,عتيق,Starożytny,Ancien,Oude,Antik,Antico
WorldsPanel_name2,Mettle,Eifer,лихость,気迫,气概,Brío,impetuosidade,همة,Zapał,Courage,Moed,hırs,Coraggio
WorldsPanel_name3,Desert,Wüste,пустынный,砂漠,沙漠,Desierto,Deserto,صحراء,Pustynia,désert,Woestijn,Çöl,Deserto
WorldsPanel_name4,Snowy,Schneebedeckt,Снежный,雪の降ります,似雪,Nevado,Nevado,مثلج,Śnieżny,Neigeux,besneeuwd,Kar yağışlı,Nevoso
WinPanel.Text,Level Cleared,Niveau Gelöscht,Уровень Очищенные,レベルクリア,等级清零,Nivel completado,nível Cleared,تطهيرها مستوى,Poziom wyczyszczone,niveau Effacé,niveau gewist,Seviye Temizlendi,livello Azzerato
FailPanel.Text,Level Failed,Niveau gescheitert,Уровень провален,レベルに失敗しました,级失败的,Nivel fracasado,Nível falhado,فشل مستوى,Poziom nieudany,Niveau échoué,niveau mislukt,Seviye geçilemedi,Livello fallito
TutorialText,Do not hit this bottle,Schlagen Sie diese Flasche nicht,Не бейте эту бутылку,このボトルをヒットしないでください。,不要打这瓶,No golpear esta botella,Não bata esta garrafa,لا تصل هذه الزجاجة,Nie bij tę butelkę,Ne pas frapper cette bouteille,Niet slaan deze fles,bu şişeyi Vurmayın,Non colpire questa bottiglia
PausePanel.Text,Pause,Pause,Пауза,休止,暂停,Pausa,Pausa,وقفة,Pauza,Pause,Pauze,Duraklat,Pausa
Worldlock_popupClue1,Achieve _ stars in forest world to unlock this world,"Erreichen _ Sterne in Wald Welt, diese Welt zu entsperren","Достичь _ звезды в лесном мире, чтобы разблокировать этот мир",_森の世界で星はこの世界のロックを解除するために達成,实现_星森林的世界解开这个世界,Lograr _ estrellas en el mundo de los bosques para desbloquear este mundo,Alcançar _ estrelas no mundo da floresta para desbloquear este mundo,تحقيق _ النجوم في العالم الغابات لفتح هذا العالم,"Osiągnąć _ gwiazdy w leśnej świata, aby odblokować ten świat",_ Stars réaliser monde forestier pour débloquer ce monde,Bereiken _ sterren in het bos wereld om deze wereld te ontgrendelen,_ Orman dünyasında yıldız bu dünyayı kilidini Başarmak,Ottenere _ stelle nel mondo della foresta per sbloccare questo mondo
